word_id,japanese,romaji,english,italian,unlock_level
ja_001,こんにちは,konnichiwa,hello,ciao,1
ja_002,ありがとう,arigatou,thanks,grazie,1
ja_003,はい,hai,yes,sì,1
ja_004,いいえ,iie,no,no,1
ja_005,お願いします,onegaishimasu,please,per favore,1
ja_006,ごめんなさい,gomen nasai,sorry,scusa,2
ja_007,朝,asa,morning,mattina,2
ja_008,夕方,yuugata,evening,sera,2
ja_009,日,hi,day,giorno,2
ja_010,夜,yoru,night,notte,2
ja_011,水,mizu,water,acqua,3
ja_012,食べ物,tabemono,food,cibo,3
ja_013,コーヒー,koohii,coffee,caffè,3
ja_014,パン,pan,bread,pane,3
ja_015,家,ie,house,casa,3
ja_016,車,kuruma,car,macchina,4
ja_017,本,hon,book,libro,4
ja_018,友達,tomodachi,friend,amico,4
ja_019,家族,kazoku,family,famiglia,4
ja_020,学校,gakkou,school,scuola,4
ja_021,男の人,otoko no hito,man,uomo,5
ja_022,女の人,onna no hito,woman,donna,5
ja_023,子供,kodomo,child,bambino,5
ja_024,女の子,onna no ko,girl,bambina,5
ja_025,男の子,otoko no ko,boy,ragazzo,5
ja_026,母,haha,mother,madre,6
ja_027,父,chichi,father,padre,6
ja_028,姉,ane,sister,sorella,6
ja_029,兄,ani,brother,fratello,6
ja_030,祖母,sobo,grandmother,nonna,6
ja_031,大きい,ookii,big,grande,7
ja_032,小さい,chiisai,small,piccolo,7
ja_033,良い,yoi,good,buono,7
ja_034,悪い,warui,bad,cattivo,7
ja_035,新しい,atarashii,new,nuovo,7
ja_036,古い,furui,old,vecchio,8
ja_037,暖かい,atatakai,warm,caldo,8
ja_038,寒い,samui,cold,freddo,8
ja_039,速い,hayai,fast,veloce,8
ja_040,遅い,osoi,slow,lento,8
ja_041,私,watashi,I,io,9
ja_042,あなた,anata,you,tu,9
ja_043,彼,kare,he,lui,9
ja_044,彼女,kanojo,she,lei,9
ja_045,私たち,watashitachi,we,noi,9
ja_046,あなたたち,anatatachi,you plural,voi,10
ja_047,彼ら,karera,they,loro,10
ja_048,私の,watashi no,my,mio,10
ja_049,あなたの,anata no,your,tuo,10
ja_050,私たちの,watashitachi no,our,nostro,10
ja_051,です,desu,to be,essere,11
ja_052,持つ,motsu,to have,avere,11
ja_053,行く,iku,to go,andare,11
ja_054,来る,kuru,to come,venire,11
ja_055,する,suru,to do,fare,11
ja_056,食べる,taberu,to eat,mangiare,12
ja_057,飲む,nomu,to drink,bere,12
ja_058,読む,yomu,to read,leggere,12
ja_059,書く,kaku,to write,scrivere,12
ja_060,話す,hanasu,to speak,parlare,12
ja_061,一つ,hitotsu,a common,un,13
ja_062,一つ,hitotsu,a feminine,una,13
